#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180518-090759.210;20180518-090759.000;37.78727000;-122.40766250;3.0;241.1;210.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090759.679;20180518-090759.000;37.78727000;-122.40766250;3.0;241.1;219.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090800.183;20180518-090800.000;37.78726000;-122.40765200;3.0;234.1;212.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090800.691;20180518-090800.000;37.78726000;-122.40765200;3.0;234.1;211.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090801.195;20180518-090801.000;37.78725780;-122.40764150;3.0;234.1;213.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090801.697;20180518-090801.000;37.78725780;-122.40764150;3.0;234.1;213.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090802.203;20180518-090801.000;37.78725780;-122.40764150;3.0;234.1;216.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090802.706;20180518-090801.000;37.78725780;-122.40764150;3.0;234.1;215.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090803.211;20180518-090803.000;37.78725780;-122.40763290;3.0;246.6;210.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090803.713;20180518-090803.000;37.78725780;-122.40763290;3.0;246.6;208.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090804.217;20180518-090804.000;37.78725400;-122.40762340;3.0;246.6;206.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090804.721;20180518-090804.000;37.78725400;-122.40762340;3.0;246.6;209.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090805.227;20180518-090805.000;37.78724640;-122.40761480;3.0;243.1;207.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090805.729;20180518-090805.000;37.78724640;-122.40761480;3.0;243.1;203.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090806.232;20180518-090806.000;37.78723500;-122.40760620;3.0;231.5;201.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090806.736;20180518-090806.000;37.78723500;-122.40760620;3.0;231.5;201.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090807.240;20180518-090807.000;37.78722730;-122.40759860;3.0;228.7;198.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090807.745;20180518-090807.000;37.78722730;-122.40759860;3.0;228.7;200.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090808.250;20180518-090808.000;37.78721590;-122.40759760;3.0;206.7;201.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090808.751;20180518-090808.000;37.78721590;-122.40759760;3.0;206.7;200.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090809.255;20180518-090809.000;37.78721000;-122.40759950;3.0;206.7;209.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
